,abv,ibu,id,name,style,brewery_id,ounces,name_style,super_category,type
0,0.05,14.0,1436,Pub Beer,American Pale Lager,408,12.0,pub beeramerican pale lager,ale,0.0
14,0.061,60.0,1979,Bitter Bitch,American Pale Ale (APA),177,12.0,bitter bitchamerican pale ale (apa),ale,0.0
21,0.099,92.0,1036,Lower De Boom,American Barleywine,368,8.4,lower de boomamerican barleywine,ale,0.0
22,0.079,45.0,1024,Fireside Chat,Winter Warmer,368,12.0,fireside chatwinter warmer,ale,0.0
24,0.044,42.0,876,Bitter American,American Pale Ale (APA),368,12.0,bitter americanamerican pale ale (apa),ale,0.0
28,0.07,70.0,799,21st Amendment IPA (2006),American IPA,368,12.0,21st amendment ipa (2006)american ipa,ale,0.0
29,0.07,70.0,797,Brew Free! or Die IPA (2008),American IPA,368,12.0,brew free! or die ipa (2008)american ipa,ale,0.0
30,0.07,70.0,796,Brew Free! or Die IPA (2009),American IPA,368,12.0,brew free! or die ipa (2009)american ipa,ale,0.0
31,0.085,52.0,531,Special Edition: Allies Win The War!,English Strong Ale,368,12.0,special edition: allies win the war!english strong ale,ale,0.0
32,0.097,94.0,432,Hop Crisis,American Double / Imperial IPA,368,12.0,hop crisisamerican double / imperial ipa,ale,0.0
33,0.044,42.0,353,Bitter American (2011),American Pale Ale (APA),368,12.0,bitter american (2011)american pale ale (apa),ale,0.0
34,0.079,45.0,321,Fireside Chat (2010),Winter Warmer,368,12.0,fireside chat (2010)winter warmer,ale,0.0
35,0.068,65.0,173,Back in Black,American Black Ale,368,12.0,back in blackamerican black ale,ale,0.0
36,0.083,35.0,11,Monk's Blood,Belgian Dark Ale,368,12.0,monk's bloodbelgian dark ale,ale,0.0
37,0.07,65.0,10,Brew Free! or Die IPA,American IPA,368,12.0,brew free! or die ipaamerican ipa,ale,0.0
39,0.07,82.0,2519,Bimini Twist,American IPA,67,12.0,bimini twistamerican ipa,ale,0.0
42,0.035,11.0,2545,Passion Fruit Prussia,Berliner Weissbier,60,12.0,passion fruit prussiaberliner weissbier,ale,0.0
